TEAM,PLAYER,EA POSITION,OVR
"TEXAS A&M","Mario Craver","WR","91"
"TEXAS A&M","Aaron Gregory","WR","77"
"TEXAS A&M","Houston Thomas","TE","77"
"TEXAS A&M","Richie Anderson","TE","75"
"TEXAS A&M","David Olano","K","82"
"VANDERBILT","Jared Curtis","QB","79"
"VANDERBILT","Blaze Berlowitz","QB","71"
"VANDERBILT","Sedrick Alexander","RB","85"
"VANDERBILT","Makhilyn Young","RB","81"
"VANDERBILT","Evan Hampton","RB","75"
"VANDERBILT","Ja'Cory Thomas","WR","81"
"VANDERBILT","Junior Sherrill","WR","87"
"VANDERBILT","Cole Adams","WR","83"
"VANDERBILT","Tristen Brown","WR","75"
"VANDERBILT","Cole Spence","TE","80"
"VANDERBILT","Jayvontay Conner","TE","77"
"VANDERBILT","Brock Taylor","K","86"
"ARIZONA","Noah Fifita","QB","90"
"ARIZONA","Sawyer Anderson","QB","70"
"ARIZONA","Kedrick Reescano","RB","83"
"ARIZONA","Quincy Craig","RB","82"
"ARIZONA","Antwan Roberts","RB","81"
"ARIZONA","Tre Spivey","WR","80"
"ARIZONA","Chris Hunter","WR","76"
"ARIZONA","Giovanni Richardson","WR","79"
"ARIZONA","DJ Jordan","WR","79"
"ARIZONA","Cole Rusk","TE","78"
"ARIZONA","Tyler Powell","TE","69"
"ARIZONA","Michael Salgado-Medina","K","80"
"ARIZONA STATE","Cutter Boley","QB","78"
"ARIZONA STATE","Mikey Keene","QB","78"
"ARIZONA STATE","Kyson Brown","RB","81"
"ARIZONA STATE","Demarius Robinson","RB","78"
"ARIZONA STATE","Jason Brown Jr.","RB","78"
"ARIZONA STATE","Reed Harris","WR","87"
"ARIZONA STATE","Omarion Miller","WR","87"
"ARIZONA STATE","Raiden Vines-Bright","WR","79"
"ARIZONA STATE","Jalen Moss","WR","77"
"ARIZONA STATE","Khamari Anderson","TE","76"
"ARIZONA STATE","AJ Ia","TE","76"
"ARIZONA STATE","Carson Smith","K","81"
"BAYLOR","DJ Lagway","QB","83"
"BAYLOR","Nate Bennett","QB","62"
"BAYLOR","Dawson Pendergrass","RB","83"
"BAYLOR","Caden Knighten","RB","80"
"BAYLOR","Michael Turner","RB","81"
"BAYLOR","Louis Brown IV","WR","80"
"BAYLOR","Dre'lon Miller","WR","81"
"BAYLOR","Gavin Freeman","WR","82"
"BAYLOR","Jadon Porter","WR","72"
"BAYLOR","Tony Livingston","TE","74"
"BAYLOR","Matthew Klopfenstein","TE","73"
"BAYLOR","Rhett Armstrong","K","76"
"BYU","Bear Bachmeier","QB","84"
"BYU","Treyson Bourguet","QB","71"
"BYU","LJ Martin","RB","92"
"BYU","Sione Moa","RB","78"
"BYU","Jovesa Damuni","RB","76"
"BYU","Kyler Kasper","WR","83"
"BYU","Jojo Phillips","WR","80"
"BYU","Cody Hagen","WR","79"
"BYU","Tiger Bachmeier","WR","79"
"BYU","Walker Lyons","TE","81"
"BYU","Roger Saleapaga II","TE","78"
"BYU","Matthias Dunn","K","72"
"UCF","Alonza Barnett III","QB","86"
"UCF","Keyone Jenkins","QB","75"
"UCF","Landen Chambers","RB","82"
"UCF","Duke Watson","RB","83"
"UCF","Taevion Swint","RB","77"
"UCF","Jonathan Bibbs","WR","80"
"UCF","Waden Charles","WR","75"
"UCF","Duane Thomas Jr.","WR","85"
"UCF","Josh Derry","WR","72"
"UCF","Dylan Wade","TE","88"
"UCF","Grayson Brousseau","TE","68"
"UCF","Will Stone","K","75"
"CINCINNATI","JC French IV","QB","77"
"CINCINNATI","Liam O'Brien","QB","70"
"CINCINNATI","Zion Johnson","RB","82"
"CINCINNATI","Zylan Perry","RB","82"
"CINCINNATI","Gi'Bran Payne","RB","81"
"CINCINNATI","JV Gibson","WR","84"
"CINCINNATI","Malachi Henry","WR","76"
"CINCINNATI","Isaiah Johnson","WR","75"
"CINCINNATI","Cade Wolford","WR","75"
"CINCINNATI","Gavin Grover","TE","74"
"CINCINNATI","Devyn Zahursky","TE","65"
"CINCINNATI","Stephen Rusnak","K","81"
"COLORADO","Julian Lewis","QB","79"
"COLORADO","Isaac Wilson","QB","71"
"COLORADO","Richard Young","RB","82"
"COLORADO","Micah Welch","RB","81"
"COLORADO","DeKalon Taylor","RB","76"
"COLORADO","DeAndre Moore Jr.","WR","86"
"COLORADO","Joseph Williams","WR","84"
"COLORADO","Danny Scudero","WR","91"
"COLORADO","Ernest Campbell","WR","82"
"COLORADO","Zach Atkins","TE","77"
"COLORADO","Fisher Clements","TE","71"
"COLORADO","Josh McCormick","K","75"
"HOUSTON","Conner Weigman","QB","86"
"HOUSTON","Keisean Henderson","QB","81"
"HOUSTON","Makhi Hughes","RB","85"
"HOUSTON","Re'Shaun Sanford II","RB","82"
"HOUSTON","DJ Butler","RB","77"
"HOUSTON","Koby Young","WR","77"
"HOUSTON","Trent Walker","WR","87"
"HOUSTON","Amare Thomas","WR","90"
"HOUSTON","Jonathan Bibbs","WR","81"
"HOUSTON","Patrick Overmyer","TE","75"
"HOUSTON","Traville Frederick Jr.","TE","70"
"HOUSTON","Evan Noel","K","78"
"IOWA STATE","Jaylen Raynor","QB","80"
"IOWA STATE","Zane Flores","QB","68"
"IOWA STATE","Cameron Pettaway","RB","77"
"IOWA STATE","Aiden Flora","RB","75"
"IOWA STATE","Jayden Jackson","RB","72"
"IOWA STATE","Cody Jackson","WR","77"
"IOWA STATE","Carter Pabst","WR","76"
"IOWA STATE","Omari Hayes","WR","84"
"IOWA STATE","Evan Boyd","WR","76"
"IOWA STATE","Tyler Fortenberry","TE","75"
"IOWA STATE","Christian Greenlaw","TE","72"
"IOWA STATE","Kyle Konrardy","K","82"
"KANSAS","Isaiah Marshall","QB","74"
"KANSAS","Cole Ballard","QB","70"
"KANSAS","Dylan Edwards","RB","86"
"KANSAS","Yasin Willis","RB","82"
"KANSAS","Jalen Dupree","RB","81"
"KANSAS","Nik McMillan","WR","88"
"KANSAS","Nahzae Cox","WR","81"
"KANSAS","Cam Pickett","WR","82"
"KANSAS","Jaden Nickens","WR","77"
"KANSAS","Carson Bruhn","TE","74"
"KANSAS","Leyton Cure","TE","73"
"KANSAS","Martin Connington","K","78"
"KANSAS STATE","Avery Johnson","QB","88"
"KANSAS STATE","Jacob Knuth","QB","71"
"KANSAS STATE","Joe Jackson","RB","85"
"KANSAS STATE","Rodney Fields Jr.","RB","81"
"KANSAS STATE","Jay Harris","RB","81"
"KANSAS STATE","Jaron Tibbs","WR","84"
"KANSAS STATE","Josh Manning","WR","78"
"KANSAS STATE","Izaiah Williams","WR","78"
"KANSAS STATE","Adonis Moise","WR","77"
"KANSAS STATE","Garrett Oakley","TE","87"
"KANSAS STATE","Linkon Cure","TE","78"
"KANSAS STATE","Luis Rodriguez","K","78"
"OKLAHOMA STATE","Drew Mestemaker","QB","89"
"OKLAHOMA STATE","Grant Jordan","QB","68"
"OKLAHOMA STATE","Caleb Hawkins","RB","91"
"OKLAHOMA STATE","Ayo Adeyi","RB","82"
"OKLAHOMA STATE","Tre Page III","RB","75"
"OKLAHOMA STATE","Justin Bowick","WR","83"
"OKLAHOMA STATE","Wyatt Young","WR","90"
"OKLAHOMA STATE","Chris Barnes","WR","82"
"OKLAHOMA STATE","Miles Coleman","WR","82"
"OKLAHOMA STATE","Donovan Green","TE","80"
"OKLAHOMA STATE","Oscar Hammond","TE","77"
"OKLAHOMA STATE","Sam Keltner","K","73"
"TCU","Jaden Craig","QB","80"
"TCU","Adam Schobel","QB","73"
"TCU","Jeremy Payne","RB","84"
"TCU","Landon Walker","RB","77"
"TCU","Jon Denman","RB","75"
"TCU","Jordan Dwyer","WR","86"
"TCU","Jeremy Scott","WR","78"
"TCU","Ed Small","WR","80"
"TCU","Major Everhart","WR","78"
"TCU","Lafayette Kaiuway","TE","76"
"TCU","Ka'Morreun Pimpton","TE","76"
"TCU","Kyle Lemmermann","K","78"
"TEXAS TECH","Will Hammond","QB","75"
"TEXAS TECH","Lloyd Jones III","QB","70"
"TEXAS TECH","Cameron Dickey","RB","88"
"TEXAS TECH","J'koby Williams","RB","86"
"TEXAS TECH","Quinten Joyner","RB","86"
"TEXAS TECH","Micah Hudson","WR","82"
"TEXAS TECH","Kenny Johnson","WR","87"
"TEXAS TECH","Coy Eakin","WR","87"
"TEXAS TECH","Donte Lee Jr.","WR","81"
"TEXAS TECH","Terrance Carter Jr.","TE","92"
"TEXAS TECH","Jett Carpenter","TE","75"
"TEXAS TECH","Stone Harrington","K","82"
"UTAH","Devon Dampier","QB","89"
"UTAH","Byrd Ficklin","QB","78"
"UTAH","Wayshawn Parker","RB","86"
"UTAH","Steve Chavez-Soto","RB","77"
"UTAH","Daniel Bray","RB","80"
"UTAH","Larry Simmons","WR","82"
"UTAH","Braden Pegan","WR","85"
"UTAH","Creed Whittemore","WR","82"
"UTAH","Tobias Merriweather","WR","76"
"UTAH","Hunter Andrews","TE","65"
"UTAH","Noah Bennee","TE","73"
"UTAH","Dillon Curtis","K","77"
"WEST VIRGINIA","Michael Hawkins Jr.","QB","79"
"WEST VIRGINIA","Scotty Fox Jr.","QB","73"
"WEST VIRGINIA","Cam Cook","RB","91"
"WEST VIRGINIA","Amari Latimer","RB","76"
"WEST VIRGINIA","Chris Talley","RB","74"
"WEST VIRGINIA","Prince Strachan","WR","80"
"WEST VIRGINIA","Jaden Bray","WR","80"
"WEST VIRGINIA","DJ Epps","WR","76"
"WEST VIRGINIA","John Neider","WR","75"
"WEST VIRGINIA","Ryan Ward","TE","66"
"WEST VIRGINIA","Cameron Ball","TE","72"
"NOTRE DAME","CJ Carr","QB","92"
"NOTRE DAME","Blake Hebert","QB","72"
"NOTRE DAME","Aneyas Williams","RB","86"
"NOTRE DAME","Nolan James Jr.","RB","79"
"NOTRE DAME","Kedren Young","RB","83"
"NOTRE DAME","Jordan Faison","WR","88"
"NOTRE DAME","Quincy Porter","WR","81"
"NOTRE DAME","Mylan Graham","WR","81"
"NOTRE DAME","Cam Williams","WR","77"
"NOTRE DAME","Cooper Flanagan","TE","80"
"NOTRE DAME","James Flanigan","TE","75"
"NOTRE DAME","Spencer Porath","K","82"
